Saami;Saamifoɔ
soyburger;soyaburger a wɔde yɛ aduan
soylent;soylent a ɛyɛ den
Soyuz;Soyuz na ɔkyerɛwee
spa;spa
space age;ahunmu mfe
space flight;ahunmu wimhyɛn
space frame;ahunmu frame
space hopper;ahunmu hopper
space probe;ahunmu nhwehwɛmu afiri
Space Race;Ahunmu Mmirikatu
Space Shuttle;Ahunmu Afiri a Wɔde Fa Ahunmu
space station;ahunmu gyinabea
space suit;ahunmu atade
space tourism;ahunmu nsrahwɛ
space travel;ahunmu akwantu
space;kwan
spaceman;ahunmu nipa
spaceship;ahunmu hyɛn
spacetime;ahunmu bere
spacious;a ɛtrɛw
spaciously;a ɛtrɛw
spade;spade a wɔde di dwuma
spades;spades a wɔde yɛ nneɛma
spadix;spadix a wɔfrɛ no spadix
spaghetti squash;spaghetti squash a wɔde yɛ aduan
spaghetti western;spaghetti atɔe famfo
spaghetti;spaghetti a wɔde yɛ nneɛma
Spain;Spain
spallation;spallation a ɛyɛ hu
spam;nwura
span;hunu
spangled kookaburra;spangled kookaburra a ɛyɛ fɛ
Spanglish;Spanglish kasa
Spaniard;Spaniani a ɔyɛ ɔbarima
spaniel;spaniel a wɔfrɛ no spaniel
Spanish Armada;Spainfo Akohyɛn a Wɔde Di Dwuma
Spanish chestnut;Spainfo chestnut a wɔfrɛ no chestnut
Spanish fly;Spainfo nwansena
Spanish Guinea;Spain Guinea na ɛwɔ hɔ
Spanish Guinean;Spain kasa mu Guinea kasa
Spanish Netherlands;Spainfoɔ Netherlands
Spanish omelet;Spainfo omelet a wɔfrɛ no omelet
Spanish omelette;Spainfo omelette a wɔde yɛ nneɛma
Spanish Water Dog;Spain Nsu mu Ɔkraman
Spanish;Spanish
spank;spank a wɔde bɔ obi
spanking;akuturukubɔ
spanner;spanner a wɔde hyɛ mu
spare part;spare part
spare tyre;tae a wɔde yɛ adwuma
spare;foforɔ
sparingly;kakraa bi
spark gap;spark gap a ɛyɛ spark gap
spark plug;spark plug a wɔde hyɛ mu
spark;spark a ɛyɛ hyew
sparkle;sparkle a ɛyɛ hyew
sparkler;sparkler a ɛyɛ hyew
sparkling wine;bobesa a ɛyɛ hyew
sparkling;a ɛhyerɛn
sparrow;ɔkraman
sparse;sparse
sparsity;sparsity a ɛyɛ den
Sparta;Sparta na ɛwɔ hɔ
Spartacus;Spartacus na ɔkyerɛwee
Spartan;Spartan kasa mu
spasm;spasm a ɛyɛ mmerɛw
spasmodic;spasmodic a ɛyɛ mmerɛw
spat;spat
spatial;ahunmu
spatter;apetepete so
spatula;spatula a wɔde hyɛ nipadua mu
spawn;spawn a wɔde wɔn ho hyɛ mu
spay;spay
speak highly;kasa a ɛkorɔn
speak of the devil;ka ɔbonsam ho asɛm
speak out;kasa
speak;kasa
speaker;ɔkasafo
spear;peaw a wɔde di dwuma
spearhead;peaw ti
spearmint;peaw a wɔde yɛ nneɛma
special education;nhomasua titiriw
special effect;nkɛntɛnso titiriw
special relativity;relativity titiriw bi a ɛfa nneɛma ho
special;soronko
specialist;ɔbenfo titiriw
specialization;specialization a wɔde yɛ adwuma
specially;titiriw
specialty;specialty
speciation;speciation a wɔde kyerɛkyerɛ nneɛma mu
species;nkyekyɛmu ahodoɔ
speciesism;speciesism a wɔde di dwuma
specific gravity;tumi a ɛtwe ade ba fam pɔtee
specific heat;ɔhyew pɔtee bi
specific;pɔtee
specifically;pɔtee
specification;nkyerɛkyerɛmu a wɔakyerɛkyerɛ mu
specificity;pɔtee a wɔka ho asɛm
specified;a wɔakyerɛ
specify;kyerɛ mu
specimen;nhwɛsode
specious;specious a ɛyɛ soronko
speck;speck a ɛyɛ nsensanee
spectacle;ahwɛde a ɛyɛ nwonwa
spectacled bear;ɔsebɔ a ɔhyɛ ahwehwɛ
spectacles;ahwehwɛ a wɔde hwɛ ade
spectacular;soronko
spectator;ɔhwɛfo
specter;specter a ɛyɛ hu
spectrometer;spectrometer a wɔde kyerɛ sɛnea nneɛma te
spectrometry;spectrometry a wɔde kyerɛ sɛnea nneɛma te
spectroscope;spectroscope a wɔde hwɛ nneɛma a ɛwɔ wim
spectrum;spectrum a ɛyɛ fɛ
speculation;nsusuwii hunu
speculative;nsusuwii hunu
speculator;ɔdefo a ɔyɛ nsusuwii hunu
speculum;speculum a ɛyɛ nwonwa
speech bubble;kasa mu ahurututu
speech;ɔkasa
speechless;ntumi nkasa
speed bag;ahoɔhare bag
speed bump;ahoɔhare a wɔde tu mmirika
speed chess;chess a wɔde ahoɔhare bɔ
speed limit;ahoɔhare anohyeto
speed of light;ahoɔhare a hann de tu mmirika
speed of sound;nnyigyei ahoɔhare
speed skating;ahoɔhare a wɔde tu mmirika wɔ skating so
speed up;ntɛmntɛm
speed;ɔhare
speedometer;ahoɔhare kyerɛwtohɔ
speedy;ntɛmntɛm
speleologist;speleologist ho ɔbenfo
speleology;speleology ho adesua
speleothem;speleothem, a ɛyɛ mmerɛw
spell checker;ɔkyerɛwfo a ɔhwɛ sɛnea wɔkyerɛw nsɛmfua
spell;twerɛ
spellbound;a wɔabɔ no akɔmfo
spelling;nkyerɛwde a wɔkyerɛw
spelt;a wɔkyerɛw no yiye
spelunk;spelunk a wɔde kyerɛw nsɛm
spelunking;spelunking a wɔde kyerɛw nsɛm
spend time;sɛe bere
spend;yi
spendthrift;sika a wɔsɛe no kɛse
sperm whale;sperm whale a wɔfrɛ no sperm whale a wɔfrɛ no sperm whale
sperm;mmadwoa a wɔfrɛ no sperm
spermatozoid;spermatozoid a ɛyɛ nkwaboaa
spermatozoon;spermatozoon a ɛwɔ hɔ
spermicide;aduru a wɔde kum mmadwoa
spew;spew a wɔtow gu
sphalerite;sphalerite a wɔfrɛ no sphalerite
sphenoid bone;sphenoid dompe a ɛyɛ sphenoid
sphere of influence;nkɛntɛnso a ɛwɔ hɔ
sphere;kurukuruwa
spherical;a ɛyɛ kurukuruwa
sphericon;kurukuruwa a ɛyɛ kurukuruwa
spherometer;kurukuruwa kyerɛwtohɔ
sphincter;sphincter a ɛma nipadua no yɛ adwuma
sphinx;sphinx a wɔfrɛ no sphinx
sphygmomanometer;sphygmomanometer a wɔde kyerɛ sɛnea obi ho yɛ hyew
spice;nnuhuam
spicebush;spicebush a ɛyɛ nnuhuam
spicy;mako
spider crab;akraman a wɔfrɛ wɔn spider crab
spider monkey;bonsu a ɛyɛ akɔre
spider wasp;akɔre a wɔfrɛ no spider wasp
spider;akɔre a wɔfrɛ no spider
spiderweb;akɔre a wɔfrɛ no spiderweb
spiffy;spiffy a ɛyɛ spiffy
spigot;spigot a wɔde yɛ aduru
spike;kɔ soro
spikenard;spikenard a wɔde yɛ nneɛma
spill;hwie gu
spillikins;spillikins a wɔde nsu gu mu
spin doctor;spin oduruyɛfo
spin-off;spin-off a wɔde hyɛ mu
spin;twa ho
spina bifida;akyi berɛmo mu ntini a ɛwɔ akyi berɛmo mu
spinach;spinach
spinal cord;akyi berɛmo mu ntini
spinal tap;akyi berɛmo mu tap
spinal;akyi berɛmo mu
spindle;spindle a ɛyɛ spindle
spindly;spindly a ɛyɛ spindly
spine board;akyi berɛmo board
spine;akyi berɛmo
spinel;spinel a ɛyɛ spinel
spinet;spinet a wɔde hyɛ nipadua mu
spinning top;spinning top
spinning wheel;ntwahonan a ɛkyinkyini
spinor;spinor a ɛyɛ spinor
spinster;ɔbaa a ɔyɛ ɔbaabun
spiny dogfish;akraman a wɔn ho yɛ nsensanee
spiny lobster;ɔkɔre a ne ho yɛ nsensanee
spiral staircase;antweri a ɛyɛ nkuruwankuruwa
spiral;spiral a ɛyɛ nkuruwankuruwa
spire;spire
spirit duplicator;honhom mu duplicator
spirit level;honhom mu gyinabea
spirit way;honhom kwan so
spirit;honhom
Spiritism;Ahonhonsɛmdi
spirits;ahonhom
spiritual;honhom mu
spirituality;honhom fam nneɛma
spirochete;spirochete a wɔde yɛ aduru
spirometer;spirometer a wɔde kyerɛ sɛnea nneɛma te
spit;te tasuo
spite;spite
spiteful;animtiaabu
spitting image;mfonini a wɔteɛteɛm
spittle;nteɛteɛm
spittoon;spittoon a wɔteɛteɛm
splanchnic;splanchnic a ɛyɛ hu
splash out;splash fi adi
splash;splash a ɛyɛ hu
splatter;splatter a wɔde bɛpetepete so
spleen;akyi berɛmo
splendor;anuonyam
splenectomy;splenectomy a wɔde twa akyi berɛmo mu
splenetic;splenetic a ɛyɛ mmerɛw
splenic;splenic a ɛwɔ akyi berɛmo mu
splice;splice a wɔde hyɛ mu
spliff;mpaapaemu
splint;splint a wɔde hyɛ mu
splinter;mpaapaemu
split end;mpaapaemu awiei
split;kyɛ mu
splits;mpaapaemu
splurge;splurge a wɔde di dwuma
spoil;sɛe
spoilage;ɔsɛe a wɔsɛe no
spoiler;ɔsɛefo
spoils of war;ɔko mu asade
spoilsport;spoilsport a wɔsɛe ade
spoilt;sɛeeɛ
spoke;kasae
spokesman;ɔkasafo
spokesperson;ɔkasafo
spoliation;nneɛma a wɔsɛe no
spondee;spondee na ɛyɛ
spondylosis;spondylosis a ɛma obi ho kyere no
sponge cake;sponge keeki a wɔde yɛ
sponge;sponge a wɔde yɛ aduru
sponger;sponger a wɔfrɛ no sponger
spongy;spongy a ɛyɛ fɛ
sponsor;sponsor a ɔboaa no
spontaneity;nea ɛba ara kwa
spontaneous;toatoa so
spontaneously;nea ɛba ara kwa
spoof;spoof a wɔde di dwuma
spook;spook
spool;spool
spoon lure;spoon lure a wɔde twetwe nneɛma
spoon-feed;spoon-feed a wɔde ma
spoon;atere
spoonbill;spoonbill a wɔde yɛ nneɛma
spoonerism;spoonerism a wɔde di dwuma
spoonful;spoon a wɔde ahyɛ mu
sporadic;a ɛba bere ne bere mu
sporangium;sporangium a wɔfrɛ no sporangium a wɔfrɛ no sporangium
spore;spore a ɛwɔ nipadua no mu
sporophyte;sporophyte a ɛma nipadua no yɛ adwuma
sport;agumadi
sports car;agumadi kar
sports writer;agumadi ho ɔkyerɛwfo
sportsman;agumadifo
sportsmanship;agumadi mu nimdeɛ
sportswoman;agumadifo ɔbea
spot;beaeɛ
spotlight;kanea a wɔde hwɛ nneɛma so
spotted dick;dick a ɛwɔ nsensanee
spotted dragonet;ɔtweaseɛ a ɔwɔ nsensanee
spotted flycatcher;spotted flycatcher a ɔkyere nwansena
spotted seal;nsɔano a ɛwɔ nsensanee
spotted skunk;skunk a ɛwɔ nsensanee
spotted;spotted
spouse;hokani
spout;spout a wɔde hyɛ mu
sprachbund;sprachbund a wɔde hyɛ nipadua mu
Sprachgefühl;Sprachgefühl na ɔkyerɛwee
sprain;akisikuru
sprat;sprat a wɔfrɛ no sprat
Spratly Islands;Spratly Nsupɔw so
sprawl;ntrɛwmu
spray gun;tuo a wɔde petepete so
spray;aduru a wɔde petepete so
spread like wildfire;trɛwee te sɛ wuram ogya
spread;trɛ
spreadsheet;spreadsheet a wɔde kyerɛw nsɛm
sprig;nkorabata
sprightly;anigye so
spring cleaning;ahohuru bere mu ahotew
spring onion;ahohuru bere mu onion
spring roll;ahohuru bere mu nhoma mmobɔwee
spring to life;ahohuru bere mu kɔ nkwa mu
spring;asuso
springboard;springboard a wɔde tu kwan
springwater;ahohuru bere mu nsu
sprinkler;sprinkler a wɔde petepete nneɛma so
sprint;mmirikatu a wɔde tu mmirika
sprocket;sprocket a wɔde hyɛ nipadua mu
sprout;fifi fifi
spruce;spruce a wɔfrɛ no spruce
sprue;sprue a wɔde yɛ adwuma
spunk;spunk a wɔde ayɛ
spur cell;spur nkwammoaa
spur;spur
spurge;spurge a ɛyɛ den
spurious;atoro
spurn;spurn
sputnik;sputnik a wɔde di dwuma
sputum;ahurututu a ɛyɛ fĩ
spy;akwansrafo
spyglass;spyglass a wɔde yɛ nneɛma
spyware;spyware a wɔde di dwuma
squab;squab a ɛyɛ squab
squabble;akasakasa
squad;squad a wɔde wɔn ho hyɛ mu
squadron;squadron a wɔde wɔn ho hyɛ mu
squall line;squall line a ɛyɛ hu
squall;ahum a ɛyɛ hu
squalor;animtiaabu
squamous;squamous a ɛyɛ mmerɛw
squander;ɔsɛe ade
square bracket;bracket a ɛyɛ ahinanan
square centimeter;sɛntimita ahinanan
square kilometre;kilomita ahinanan
square matrix;matrix a ɛyɛ ahinanan
square metre;mita ahinanan
square root;ntini a ɛyɛ ahinanan
square;ahinianan
squared;ahinanan
squarely;ahinanan
squaroid;squaroid a ɛyɛ ahinanan
squash;squash a wɔde yɛ nneɛma
squat;squat a wɔde wɔn ho hyɛ mu
squatter;squatter a ɔyɛ ɔkwasea
squatting;a wɔde wɔn ho hyɛ mu
squawk;squawk a ɛyɛ hu
squeak;squeak
squeaky;a ɛyɛ squeaky
squeal;squeal
squeamish;squeamish a ɛyɛ squeamish
squeegee mop;squeegee mop a wɔde yɛ nneɛma
squeegee;squeegee a wɔde twitwiw nneɛma
squeeze;mia
squelch;squelch a wɔde hyɛ mu
squid;sukwiide
squiffy;squiffy a ɛyɛ squiffy
squinch;squinch a wɔde wɔn ho hyɛ mu
squint;anim a wɔde hwɛ ade
squire;squire a ɔyɛ ɔsraani
squirm;squirm a ɛyɛ squirm
squirrel monkey;squirrel bonsu a ɔyɛ ɔkraman
squirrel;opuro
squirting cucumber;kukuruku a wɔde squirting
Sri Lanka;Sri Lanka na ɛwɔ hɔ
Sri Lankan;Sri Lankafo
Srinagar;Srinagar na ɛwɔ hɔ
sss;sss
St John's wort;Ɔhotefo John's wort
St. Elmo's fire;Ɔhotefo Elmo ogya
St. Stephen's Day;Ɔhotefo Stefano Da no
st;st
stab in the back;sekan a wɔde bɔ n’akyi
stab wound;sekan a wɔde bɔ obi
stab;wɔ sekan
stability;ahoɔden a wɔde gyina pintinn
stabilize;gyina pintinn
stable boy;abarimaa a ɔyɛ pintinn
stable;pintinn
stably;stably
stack;aka
stadium;agumadibea
staff;odwumayɛni
stag beetle;stag nwansena
stag-beetle;stag-beatle a wɔfrɛ no stag-beatle
stag;stag
stage direction;stage akwankyerɛ
stage fright;stage so ehu
stage-coach;stage-ɔkyerɛkyerɛfo
stage;prama
stageplay;agoprama so agodie
stagflation;stagflation a ɛkɔ soro
stagger;stagger
staging;asɛnka agua so
stagnant;a ɛyɛ stagnant
stagnate;stagnate
stagnation;gyinabea a ɛyɛ den
stain remover;aduru a wɔde yi nkekae fi hɔ
stain;nkekaawa
stained glass;ahwehwɛ a wɔde ayɛ nneɛma
stainless steel;dade a ɛnyɛ den
stainless;stainless a ɛnyɛ den
stair;antweri so
staircase;antweri so
stairs;atwedeɛ
stairway;antweri a wɔde fa so
stairwell;antweri a wɔde fa so
stake out;stake out
stake;twa
stakeholder;nea ɔde ne ho hyɛ mu
Stakhanovism;Stakhanovism a wɔde di dwuma
Stakhanovite;Stakhanovitefo a wɔyɛ adwuma wɔ hɔ
stalactite;stalactite a wɔde yɛ aduru
stalagmite;stalagmite a wɔfrɛ no stalagmite
stale;stale
stalemate;stalemate a ɛwɔ hɔ
Stalin;Stalin na ɔkyerɛwee
Stalingrad;Stalingrad na ɔkyerɛwee
Stalinism;Stalinfo a wɔyɛ adwuma wɔ hɔ
Stalinist;Stalinfo a wɔyɛ Stalinfo
stalk;aduaba kɔn
stalker;stalker a ɔyɛ ɔbarima
stall;ka
stallion;apɔnkɔsotefo
stalwart;a ɔyɛ den
stamen;stamen a ɛyɛ stamen
stamina;ahoɔden a wɔde yɛ adwuma
stammer;stammer a ɛyɛ mmerɛw
stammering;animtiaabu
stamp duty;stamp ho tow a wɔbɔ
stamp hinge;stamp hinge a wɔde yɛ adwuma
stamp;dunsini
stampede;stampede a wɔde tu mmirika
stamping ground;stamping asase so
stance;gyinabea
stanchion;stanchion a ɛyɛ den
stand back;gyina akyi
stand by;gyina hɔ
stand for;gyina hɔ ma
stand in for;gyina hɔ ma
stand in;gyina mu
stand on ceremony;gyina guasodeyɛ so
stand one's ground;gyina obi fam
stand out;da nsow
stand up;sɔre gyina hɔ
stand-alone;gyina hɔ ma ne ho
stand-in;gyinabea-in
stand;gyina
standard definition;nkyerɛase a ɛyɛ gyinapɛn
Standard Model;Nhwɛsode a Wɔde Di Dwuma
standard of living;asetra gyinapɛn
standard time;bere a wɔahyɛ da ayɛ
standard-bearer;frankaa-kurafo
standard;susudua
standardise;standardize
standardization;gyinapɛn ahorow a wɔde hyɛ mu
standing committee;boayikuw a ɛwɔ hɔ daa
standing;gyina hɔ
standoffish;standoffish a wɔde gyina hɔ
standoffishness;gyinabea a ɛyɛ den
standpoint;gyinabea
standstill;gyina hɔ
Stanislaus;Stanislaus na ɔkyerɛwee
stanza;stanza a wɔde di dwuma
stapedius;stapedius a wɔfrɛ no stapedius
staple remover;ade titiriw a wɔde yi nneɛma fi hɔ
staple;ade titiriw
stapler;stapler a wɔde hyɛ nneɛma mu
star anise;nsoromma anise
star cluster;nsoromma akuwakuw
star fruit;nsoromma aba
star jelly;nsoromma jelly
Star of David;Dawid Nsoromma
Star Trek;Nsoromma Trek
Star Wars;Nsoromma mu Akodi
Star-Spangled Banner;Nsoromma-Spangled Banner
star;nsoroma
starboard;benkum fam
starch;starch a wɔde yɛ aduru
stardom;nsoromma mu hwɛ
stare at the wall;hwɛ ɔfasu no so denneennen
stare;hwɛ ade denneennen
starfish;nsoromma mu hwɛ
stargazer;nsoromma a wɔhwɛ
stark raving mad;stark raving abɔdamfo
starling;starling a wɔfrɛ no starling
starry;nsoromma mu hwɛbea
starship;nsoromma hyɛn
start a family;fi abusua ase
start afresh;fi ase foforo
Start button;Start button no
Start Menu;Menu a Wofi Ase
start over;fi ase bio
start;hyɛ aseɛ
starter;starter
starthistle;starthistle a wɔde hyɛ ase
starting point;beae a wofi ase
startle;ahodwiriw
startled;no ho dwiriw no
startling;a ɛyɛ nwonwa
startup;startup
starvation;ɔkɔm de wɔn
stash;stash a wɔde asie
stasis;stasis a ɛyɛ den
stat;stat
state capitalism;ɔman kapitalism
state funeral;ɔman ayiyɛ
State of Israel;Israel Man
state of matter;tebea a ɛwɔ ade mu
state of mind;adwene tebea
State of Qatar;Qatar Mantam a ɛwɔ hɔ
state of the art;tebea a ɛwɔ adwinni mu
State of the Union;Tebea a Ɛwɔ Kabom no mu
state ownership;ɔman no wurayɛ
state religion;ɔman nyamesom
state visit;ɔman nsrahwɛ
state;ɔman
stateless;ɔman a wonni ɔman
stately;ɔman anidan
statement;anodisɛm
statesmanship;ɔman ho nimdeɛ
static electricity;anyinam ahoɔden a ɛnyɛ adwuma
static;static a ɛnyɛ adwuma
statics;statics a ɛyɛ statics
station wagon;station teaseɛnam
station;dwumadibea
stationary;a egyina hɔ pintinn
stationery;nneɛma a wɔde kyerɛw nsɛm
statism;statism ho nimdeɛ
statist;statist ho nimdefo
statistic;akontaabu
statistical;akontaabu mu nsɛm
statistically;akontaabu mu no
statistics;akontaabu ahorow
statolith;statolith a wɔfrɛ no statolith
stator;stator a wɔde hyɛ mu
Statue of Liberty;Ahofadi Honi a Wɔde Yɛ Adwuma
statue;ohoni
status bar;tebea ho kyerɛwtohɔ
status quo;tebea a ɛwɔ hɔ
status;gyinabea
statutory rape;mmonnaato a mmara ma ho kwan
statutory;mmara kwan so de
staunch;staunch, a ɔyɛ den
staurolite;staurolite a wɔfrɛ no staurolite
stave;stave
stavesacre;stavesacre a wɔde yɛ adwuma
Stavropol;Stavropol na ɔkyerɛwee
stay put;tena hɔ
stay up;tena hɔ sɔre
stay;tena
stead;mmom
steadfast;pintinn
steadiness;a wɔde gyina pintinn
steady;pintinn
steak;nam
steal;dadeɛ
stealth;sum ase a wowia
stealthy;sum ase
steam engine;afiri a wɔde yɛ nsuo a ɛyɛ hyew
steam locomotive;keteke a wɔde nsuonwini yɛ
steam;kye ho
steamboat;hyɛmma a wɔde nsu gu mu
steamed;wɔde ayɛ nsuo a ɛyɛ hyew
steamer duck;steamer ananse a wɔfrɛ no steamer
steamer;afiri a wɔde yɛ nsuo
steaming;a ɛyɛ nsuo a ɛyɛ hyew
steamroller;steamroller a wɔde twitwiw nsu mu
steamship;po so hyɛn a ɛde nsu a ɛyɛ hyew
steamy;steamy a ɛyɛ hyew
stearin;stearin a wɔde di dwuma
steatosis;steatosis a ɛma obi ho yɛ hyew
steed;ɔpɔnkɔ
steel wool;dade a wɔde yɛ aboa nhoma
steel;dadeɛ
steelworks;dade adwumayɛbea ahorow
steep;nsaeneɛ a ano yɛ den
steeple;abansoro a ɛwɔ abansoro so
steepness;a ɛyɛ mmepɔwmmepɔw
steer;steer a wɔde di dwuma
steering group;akwankyerɛ kuw
steering wheel;stia a wɔde di dwuma
steering;stia a wɔde di dwuma
steganography;steganography a wɔde kyerɛw nsɛm
stegosaur;stegosaur a wɔfrɛ no stegosaur
stele;stele
stellar wind;nsoromma mframa
stem cell;ntini mu nkwammoaa
stem;asɛnnua
stemmatics;stemmatics a wɔde kyerɛw nsɛm
stench;hua a ɛyɛ hu
stencil;stencil a wɔde yɛ nneɛma
Stendhalian;Stendhalian na ɔkyerɛwee
stenography;stenography a wɔde kyerɛw nsɛm
stenosis;stenosis a ɛyɛ den
stent;stent a wɔde hyɛ mu
stentorian;stentorian ho ɔbenfo
step by step;anammɔn biara
step in;fa wo nan hyɛ mu
step ladder;anammɔn antweri
step machine;anammɔn afiri
step-;anamɔn-
step;anamɔn
stepbrother;ɔbaatan nua
stepchild;mpena ba
stepdaughter;mpena babaa
stepfather-in-law;mpena a ɔyɛ n’asew
stepfather;ɔbaatan a ɔyɛ ɔbaatan
stepgrandfather;mpena nana
stepgrandmother;mpena nanabea
stepgrandson;ɔbaatan ba
Stephanie;Stephanie na ɔkyerɛwee
Stephen;Stefano
stepmother;ɛna a ɔyɛ ɔbaatan
steppe;steppe a ɛwɔ hɔ
stepsister;ɔbaatan nuabea
stepson;mpena ba
stepwell;stepwell a ɛyɛ den
stereo;stereo
stereochemistry;stereochemistry a wɔde kyerɛkyerɛ nneɛma mu
stereoisomerism;stereoisomerism a wɔde di dwuma
stereotomy;stereotomy a wɔde di dwuma
stereotype;stereotype
stereotypical;stereotypical
sterile;sterile
sterilizable;nea wotumi de sterilize
sterilization;sterilization a wɔde ma
sterilize;sterilize a wɔde yɛ aduru
stern;akyigyinafo
steroid;steroid a wɔde di dwuma
steroidogenesis;steroidogenesis a ɛma nipadua no yɛ adwuma
steroidogenic;steroidogenic a ɛma nipadua no yɛ adwuma
stertor;stertor a wɔde di dwuma
stertorous;stertorous a ɛyɛ den
stethoscope;afiri a wɔde tie asɛm
stevedore;stevedore a wɔde yɛ adwuma
stevia;stevia a wɔfrɛ no stevia
stew;stew a wɔde ayɛ aduan
steward;ofiehwɛfo
stewardess;ofiehwɛfo a ɔyɛ adwuma
stewardship;ofiehwɛ adwuma
stewpot;stewpot a wɔde yɛ aduan
stibnite;stibnite a wɔde di dwuma
stibonium;stibonium a ɛyɛ den
stick insect;dua nkoekoemmoa
stick out;stick fi adi
stick;ka
sticker;sticker a wɔde kyerɛw nsɛm
sticky;a ɛyɛ nnam
stiff peaks;nkoko a ɛyɛ den
stiff;bawee
stiffen;stiffen a ɛyɛ den
stiffness;stiffness a ɛyɛ den
stifle;stifle a wɔde hyɛ obi mu
stifling;stifling a wɔde hyɛ obi mu
stigma;animtiaabu
stigmatize;stigmatize a wɔde di dwuma
stigmatized;wɔabɔ no animtiaa
stilbene;stilbene a wɔde yɛ nnuru
still life;nkwa a ɛda so ara wɔ hɔ
still water;nsu a ɛda so ara wɔ hɔ
still;da so
stillbirth;awo a wɔawuwu
stillborn;awo a wɔawuwu
stilt;stilt a wɔde yɛ adwuma
stilted;stilted
stimulant;ade a ɛkanyan obi
stimulate;kanyan obi
stimulation;nkanyan a wɔde kanyan obi
stimulus;nkanyan a ɛkanyan obi
sting;bɔ
stinger;stinger a ɛyɛ stinger
stinginess;animtiaabu
stingray;stingray a wɔfrɛ no stingray
stingy;pɛpɛɛpɛ
stink;stink
stinkbomb;stinkbomb a ɛyɛ hu
stinky tofu;tofu a ɛyɛ huam
stinky;a ɛyɛ hu
stint;stint a wɔde yɛ adwuma
stipend;sika a wɔde boa
stipular;stipular a wɔde ahyɛ mu
stipulate;hyɛ no sɛ
stipule;stipule a wɔde ahyɛ mu
stir up;akanyan no
stir-fry;stir-fry a wɔde hyɛ mu
stir;num
Stirling engine;Stirling engine a wɔde yɛ adwuma
stirrup;stirrup a wɔde hyɛ mu
stitch;stitch a wɔde hyɛ mu
stochastic;stochastic a wɔde di dwuma
stochastics;stochastics a wɔde kyerɛw nsɛm
stock character;stock suban
stock exchange;sikakorabea ahorow a wɔtɔn nneɛma wom
stock market crash;stock gua a ɛkɔ fam
stock market;stock gua so
stock up;stock up
stock;deɛ ɛwɔ hɔ
stockade;stockade a wɔde yɛ nneɛma
stockbroker;stockbroker a ɔtɔn nneɛma
stockfish;stockfish a wɔfrɛ no stockfish
Stockholm syndrome;Stockholm yare a ɛma obi nya ɔyare no
Stockholm;Stockholm na ɛwɔ hɔ
stocking;stocking a wɔde yɛ nneɛma
stockpile;nneɛma a wɔde asie
stocky;stocky a ɛyɛ den
stodgy;stodgy a wɔde di dwuma
stoic;stoic, na ɛyɛ stoic
stoical;stoical a wɔde di dwuma
stoically;stoically so
stoichiometry;stoichiometry a wɔde kyerɛw nsɛm
stoicism;stoicism a wɔde di dwuma
stoke;stoke a wɔde yɛ adwuma
stoker;stoker a wɔfrɛ no stoker
stole;wiaa ade
stolen;awia
stolid;stolid a ɛyɛ den
stoma;stoma
stomach;yafunu
stomachache;yafunu mu yaw
stomp;stomp a wɔde gyina so
Stone Age;Abo Mmere no
stone curlew;ɔbo a wɔde ayɛ curlew
stone deaf;ɔbo a ɛyɛ asotifo
stone pine;ɔbo a wɔde yɛ pine
stone;boɔ
stonechat;stonechat a wɔde di dwuma
stoned;wosiw wɔn abo
Stonehenge;Stonehenge a wɔde yɛ nneɛma
stonemason;aboɔ a wɔde yɛ adwuma
stoner;aboɔdenfoɔ
stonewall;aboɔ fasuo
stooge;stooge a wɔfrɛ no stooge
stool;agyanan
stoop;kotow
stop at nothing;gyina biribiara so
stop sign;gyinabea sɛnkyerɛnne
stop the car;gyae kar no
stop-motion;stop-motion a wɔde gyina hɔ
stop;gyae
stopcock;stopcock a wɔde gyina hɔ
stopover;gyinabea a wɔde gyina hɔ
stoppage;gyinabea a wɔde gyina
stopwatch;dɔn a wɔde gyina hɔ
storage;akoraeɛ
store;kora
storehouse;adekoradan a wɔde nneɛma gu mu
storekeeper;sotɔɔ sohwɛfo
storeroom;adekoradan mu
storey;abansoro so
stork;stork a wɔfrɛ no stork
storm cellar;ahum a ɛretu
storm drain;ahum a ɛtwetwe nsuo
storm petrel;ahum a ɛbɔ petrel
storm;ahum
stormy;ahum a ɛyɛ hu
story;abasɛm
storybook;abasɛm nhoma
storyteller;abasɛm kyerɛwfo
stoutness;stoutness a ɛyɛ den
stove;sutoofu
stow;stow a wɔde sie
stowaway;stowaway a wɔde gyina hɔ
strabismus;strabismus a ɛma obi ho yɛ hyew
Strabo;Strabo na ɔkyerɛwee
stracciatella;stracciatella a ɛyɛ mmerɛw
straddle;straddle a wɔde gyina so
Stradivarius;Stradivarius a wɔfrɛ no Stradivarius na ɔkyerɛwee
straggler;straggler a ɔde ne ho to so
straight razor;razor a ɛyɛ tẽẽ
straight-laced;a wɔde nhama ayɛ tẽẽ
straight;tee
straighten out;teɛteɛ w’asɛm
straighten;teɛteɛ mu
straightforward;ɛyɛ tee
strain;yere ho
strained;a ɛyɛ den
strainer;strainer a wɔde yiyi mu
Strait of Gibraltar;Gibraltar Asubɔnten no mu
Strait of Hormuz;Hormuz Asubɔnten no mu
Strait of Kerch;Kerch Asubɔnten no mu
Strait of Magellan;Magellan Asubɔnten a ɛwɔ Asubɔnten no mu
Strait of Messina;Messina Asubɔnten no mu
